"Palabra","Palabra.1","Palabra.2","Palabra.3","Palabra.4","Palabra.5","Palabra.6","Palabra.7","Palabra.8","Palabra.9","Palabra.10","Palabra.11","Palabra.12","Palabra.13","Palabra.14","Palabra.15","Palabra.16","Palabra.17","Palabra.18","Palabra.19","Palabra.20"
"China (República Popular, 1949-****)","China (República Popular, 1949- )","China (República Popular, 1949-)","China (República Popular, 1949-***)","China (República popular, 1949-****)","China (República Popular 1949-****)","China (República Popular, 1949-*****)","China (República Popular, 1949-**** )","China [República Popular, 1949- )","China (República Popular, 1949-****","China (Republica popular, 1949- )","China (República popular, 1949-)","China (República Popular. 1949-****)","China (República Popular, 1949-***+)","China (República Popular, 1949- ***)","China (República Popular, 1949****)","China (República Popular, 1949)","China (República Popular 1949-)","China (República Popular 1949- )","China (República (Popular, 1949-****)","China (Republica Popular, 1949-****)"
"Chung Kuo Kung Ch'an Tang","Chung-Kuo Kung Ch'an Tang","Chung-Kuo Kung Ch'an tang","Chung-kuo Kung Ch'an Tang","Chung-kuo kung ch'an tang","Chung-kuo Kung Ch'an tang","Chung-kuo kung ch°an tang","Chung-kuo kung Ch'an tang","Chung-kuo kung chan tang","Chung-kuo kung ch'an Tang","Chung-kuo kung Ch'an Tang","Chung-kuo Kung-ch'an-Tang","Chung-kuo Kung Chan Tang","Chung-Kuo Kung ch'an Tang","Chung-Kuo Kung Cha'n Tang","Chung Kuo kung Ch'an Tang","Chung Kuo Kung Ch'an tang","","","",""
"Tratado de Libre Comercio entre México, Canadá y Estados Unidos","Tratado de Libre Comercio entre Canadá, México y Estados Unidos","Tratado de Libre Comercio entre México, Estados Unidos y Canadá","Tratado de Libre Comercio entre México, Canada y Estados Unidos","Tratado de libre comercio entre México, Canadá y Estados Unidos","Tratado de Libre Comercio entre México, Canadá y Estados Unidos Unidos","Tratado de libre comercio entre México, Estados Unidos y Canadá","Tratado de Libre comercio entre México, Canadá y Estados Unidos","Tratado de Libre Comercio entre, México, Canadá y Estados Unidos","","","","","","","","","","","",""
"Quebec, Canadá (Provincia)","Québec, Canadá (Provincia)","Québec (Canadá : Provincia)","Québec (Provincia), Canadá","Québec, Canada (Provincia)","Quebec (Canadá : Provincia)","Quebéc (Canadá : Provincia)","Quebec, Canada (Provincia)","Quebec (Provincia, Canadá)","","","","","","","","","","","",""
"América Latina","America Latina","América latina","América LAtina","América Látina","América Latína","América Latina.","America latina","","","","","","","","","","","","",""
"Pacífico, Area del","Pacifico, Area del","Pácifico, Area del","Pacifíco, Area del","Area del Pacífico","Pacífico Area, del","Pacífico Area del","Area del pacífico","","","","","","","","","","","","",""
"Países de la Unión Europea","Paises de la Unión Europea","Países de la Uníon Europea","Países de la Union Europea","Páises de la Unión Europea","Países de la unión Europea","Países de la Unión europea","Países de la Unión Europea ","","","","","","","","","","","","",""
"Corea (República Popular Democrática, 1948-****)","Corea (República Popular Democrática, 1948- )","Corea (República Popular Democrática, 1948-)","Corea (República Popular Democrática, 1948-**** )","Corea (República Popular Democrática, 1948-***)","Corea (República Popular Democrática 1948-****)","Corea (República Popular Demócrática, 1948- )","Corea (República Popular Democrática, 1948****)","","","","","","","","","","","","",""
"México","Mexico","Mexico.","México.","Mèxico","méxico","Me?xico","","","","","","","","","","","","","",""
"España","España.","Espana","españa","España ","Espanã","Espan@`a","","","","","","","","","","","","","",""
"Distrito Federal (México)","México (Distrito Federal)","Distrito Federal, México","México (Distrito Federal","Distrito federal (México)","Distrito Federal (Mexico)","(Distrito Federal) México","","","","","","","","","","","","","",""
"Ejército Zapatista de Liberación Nacional (México)","Ejército Zapatista de Liberación Nacional, México","Ejercito Zapatista de Liberación Nacional (México)","Ejercito Zapatista de Liberación Nacional, México","Ejército Zapatista de Liberación Nacional (Mexico)","Ejercito Zapatista de Liberacion Nacional, México","Eje?rcito Zapatista de Liberacio?n Nacional (Mexico)","","","","","","","","","","","","","",""
"Versalles, Tratado de, junio 28 de 1919 (Alemania)","Versalles, Tratado de, junio 28, 1919 (Alemania)","Versalles, tratado de, junio 28 de 1919 Alemania","Versalles, Tratado de, Junio 28, 1919 (Alemania)","Versalles, Tratado de, Junio 28 de 1919 Alemania","Versalles, Tratado de, Junio 28 de 1919 (Alemania)","Versalles, Tratado de , junio 28, 1919 (Alemania)","","","","","","","","","","","","","",""
"Estados Unidos","Estados unidos","Estados Unidos.","Estados Unidos ","Estados UNidos","EStados Unidos","","","","","","","","","","","","","","",""
"Iglesia católica","Iglesia Católica","Iglesia Catolica","iglesia católica","Iglesia cátolica","Iglesia catolica","","","","","","","","","","","","","","",""
"Estado, El","Estado, el","El Estado","Estado. El","Estado, EL","Estado , El","","","","","","","","","","","","","","",""
"Ciencia política","Ciencia politica","Ciencia Política","Política (Ciencia política)","Ciencia Politica.","Ciencia Politica","","","","","","","","","","","","","","",""
"Participación política","Participacion política","participación política","Participación politica","Participación Política","Participacion politica","","","","","","","","","","","","","","",""
"Países de la Comunidad Económica Europea","Países de la Comunidad Economica Europea","Países de la Comunidad Ecónomica Europea","Páises de la Comunidad Económica Europea","Países de la comunidad Económica Europea","Paises de la Comunidad Económica Europea","","","","","","","","","","","","","","",""
"Unión Soviética","Unión soviética","Unión Sovietica","Unión sovietica","Union Soviética","Union Sovietica","","","","","","","","","","","","","","",""
"Pérez Galdós, Benito","Peréz Galdós, Benito","Pérez Galdós, Benito,","Pérez Galdós Benito","Pérez Galdos, Benito","Perez Galdos, Benito","","","","","","","","","","","","","","",""
"Países no-alineados","Países no-Alineados","Países no alineados","Países No-alineados","Países No-Alineados","Paises no-alineados","","","","","","","","","","","","","","",""
"Berlín, Cuestión de (1945-****)","Berlín, Cuestión de (1945-)","Berlín, Cuestión de (1945- )","Berlín cuestión de (1945-****)","Berlin, Cuestión de (1945-****)","Berlin, Cuestión de (1945- )","","","","","","","","","","","","","","",""
"Ho, Chí Minh","Ho-chi-Minh","Ho-Chi-Minh","Ho, Chi Minh","Ho, Chi-Minh","Ho chi Minh","","","","","","","","","","","","","","",""
"Japón","Japon","Japön","Japôn","JapÓn","","","","","","","","","","","","","","","",""
"Hispanoamérica","Hispanoamerica","Hispanoámerica","hispanoamerica","Hispanoamérica ","","","","","","","","","","","","","","","",""
"Perú","Peru","Perú.","Peru?","Peru.","","","","","","","","","","","","","","","",""
"Partidos políticos","Partidos politicos","Partidos Políticos","Partídos políticos","Partidos Politicos","","","","","","","","","","","","","","","",""
"Universidades y colegios superiores","Universidades y Colegios superiores","Universidades y colegios superiores ","universidades y colegios superiores","Universidades y colegios Superiores","","","","","","","","","","","","","","","",""
"Relaciones económicas internacionales","Relaciones economicas internacionales","Relaciones internacionales económicas","Relaciones económicas internacionales ","Relaciones económicas Internacionales","","","","","","","","","","","","","","","",""
"Gramática comparada y general","Gramática general y comparada","Grámática comparada y general","Grámatica comparada y general","Gramatica comparada y general","","","","","","","","","","","","","","","",""
"Filosofía","Filosofía.","Filosofia","Filosofía(","Filosofía ","","","","","","","","","","","","","","","",""
"Lingüística","Linguística","Lingüistica","Lingúística","Lingúistica","","","","","","","","","","","","","","","",""
"Historia económica","Historía económica","Historia económica ","Historia economica","Historia Económica","","","","","","","","","","","","","","","",""
"Indios de América del Sur","Indios de América del sur","Indios de America del Sur","Indios del Sur de América","Indios del Sur de America","","","","","","","","","","","","","","","",""
"Administración de justicia","Administracion de justicia","Justicia, Administración de","Administración de Justicia","Administracion de Justicia","","","","","","","","","","","","","","","",""
"Oriente (Cercano Oriente)","Cercano Oriente","Oriente (Cercano-Oriente)","Oriente (Cercano oriente)","Cercano oriente","","","","","","","","","","","","","","","",""
"Sociolingüística","Sociolinguística","Sociolíngüística","Sociolingüistica","Sociolingúística","","","","","","","","","","","","","","","",""
"Semántica","Semantica","Semántica.","Semántica ","Semàntica","","","","","","","","","","","","","","","",""
"Comunidad Económica Europea","Comunidad Economica Europea","Comunidad económica europea","Comunidad Ecónomica Europea","Comunidad económica Europea","","","","","","","","","","","","","","","",""
"María, Santísima Virgen","María, Santísima Vírgen","Maria, Santísima Virgen","María Santísima Virgen","María, Santisima Virgen","","","","","","","","","","","","","","","",""
"Equilibrio (Economía política)","Equilibrio (economía política)","Equilibrio (Economía política )","Equilibrio (Economía política","Equilibrio (Economía Política)","","","","","","","","","","","","","","","",""
"Análisis de series cronológicas","Análisis de seríes cronológicas","Análisis de series cronólogicas","Análisis de series cronologicas","Analisis de series cronológicas","","","","","","","","","","","","","","","",""
"Bizantino, Imperio","Imperio Bizantino","Imperio bizantino","Bizantino, imperio","Bizantino Imperio","","","","","","","","","","","","","","","",""
"Andalucía, España","Andalucía (España)","Andalucia, España","Andalucia (España)","Andalucía, (España)","","","","","","","","","","","","","","","",""
