Palabra Original,Cambio,Ocurrencias
Bilingüismo,{'nutricio'},3
eucarióticas,{'eucarísticas'},2
Parkinson,{'carismática'},2
Quimioreceptores,{'alpaca-bearing'},1
Carbohidratos,{'Hidrosilicatos'},1
misisipiana,{'captación'},1
Nefrología,{'Necrología'},1
Gondwana,{'Angiospermas'},1
lésbicos,{'unidimensional'},1
Cuádricas,{'Cuadráticas'},1
Superautopista,{'Supera utopista'},1
Arizona,{'Atizona'},3
Bhakti,{'Bhakti'},1
Dialectología,{'reacción'},1
Secularización,{'Regularización'},2
Acapulco,{'Acapullo'},2
Musicólogos,{'Amarás'},1
Potlatch,{'Paleo antropología'},1
Mool,{'Molo'},1
Pérez,{'Xoxocotlán'},1
Ernesto,{'Estertor'},1
Periódo,{'Periodo'},1
Kedah,{'Erala'},1
Historiografía,{'Historio grafía'},9
Juventino,{'Osé'},1
Purísima,{'Agregarte'},1
Exfoliación,{'Expoliación'},1
Cortines,{'Fortines'},1
X,{'A'},4
yutoaztecas,{'oto mangues'},1
XVIII,{'XVIII'},20
Asertividad,{'Percepción'},1
Adivasis,{'agregativas'},1
Mixteco,{'ala'},2
rulers,{'rules'},1
minangkabaues,{'Micro biología'},1
Melusine,{'Ay'},1
antisísmico,{'anti sísmico'},1
Estóicos,{'Estoicos'},1
autolesiva,{'auto lesiva'},1
Pames,{'Ames'},1
Futbol,{'Kong'},1
Lexicología,{'Zapo teca'},1
Liquefacción,{'Calefacción'},1
iPod,{'pido'},1
indonesa,{'indonesia'},1
Ornitología,{'Mitología'},1
ligandos,{'ligando'},1
Mexico,{'México'},2
Nankín,{'Fukushima'},1
men,{'nen'},1
Postimpresionismo,{'Impresionismo'},1
XXI,{'anti monopolio'},3
Apache,{'Apecha'},1
Avila,{'Avilar'},1
Lokaiata,{'Guetos'},1
Bioclimatología,{'Abancala miento'},1
Zero,{'Ero'},1
Rivas,{'Divas'},1
Crimea,{'Primea'},2
yoruba,{'Osuna'},1
conditions,{'Economice'},1
Beluchi,{'Kong'},1
Yoga,{'Soga'},3
Acrilamida,{'Acribillada'},1
Chichonal,{'Auto crítica'},1
conservacionistas,{'intervencionistas'},1
Medea,{'Sedea'},2
Modularidad,{'Modulador'},1
Choferes,{'Camella'},1
Jongo,{'Congo'},1
halófilos,{'haló filos'},1
Videograbadoras,{'Video grabadoras'},1
Popocatépetl,{'Montarlo'},1
Acarbosa,{'Carbonosa'},1
Paiute,{'Paute'},1
sudasiática,{'sud asiática'},1
Intersubjetividad,{'Re forestación'},1
Iztacalco,{'re alimentación'},1
neozelandeses,{'Iberoamericanos'},1
multiples,{'PI'},1
Iconoclasia,{'Iconoclasta'},2
Iztapalapa,{'Palataliza'},1
HTML,{'Líticos'},1
nootrópicos,{'alotrópicos'},1
neurolingüística,{'extralingüística'},1
Danzón,{'Danzó'},1
MPLS,{'folclore'},1
catódicos,{'católicos'},2
Ignacio,{'Ignaciano'},1
dismórfico,{'Radio astronomía'},1
sumerio,{'sumario'},1
carbamoiltransferasa,{'Video grabadoras'},1
Neuropsicología,{'conducto'},2
Annales,{'Anales'},1
Jalisco,{'Falisco'},9
algebráica,{'Antropología'},2
pali,{'pila'},1
extramatrimoniales,{'extra matrimoniales'},1
Matacos,{'Patacos'},1
Lieu,{'Catite'},1
Metamatemáticas,{'Meta matemáticas'},1
Celaya,{'Celara'},1
Samurái,{'A'},1
Bessel,{'Beles'},1
Magnificat,{'Magníficat'},1
Oftalmomicosis,{'Oftalmológicos'},1
Titanic,{'Titanio'},1
Cordados,{'Bordados'},1
PRECIS,{'PRECIA'},1
Zulu,{'Oque'},1
Zapoteca,{'Zapo teca'},1
Metrología,{'Meteorología'},1
Tlatelolco,{'pos-exilio'},2
Azande,{'Apande'},1
inmunosupresores,{'Energética'},1
bipersonales,{'unipersonales'},1
Deísmo,{'Seísmo'},1
Korfbal,{'Video arte'},1
Chayanta,{'Cha yanta'},1
intergubernamental,{'gubernamental'},1
XII,{'Perritos'},2
asiriobabilónica,{'asirio babilónica'},1
Quiches,{'Quichés'},1
nucleótidos,{'Neo paganismo'},1
Booch,{'Bocho'},1
Neurolingüística,{'Extralingüística'},1
Tlaxcala,{'Yauhquemecan'},10
Museografía,{'Museo grafía'},1
Yaxchilán,{'Varsoviana'},1
Rumania,{'Rumanía'},2
péptidos,{'Interjecciones'},2
Akashicos,{'aterosclerosis'},1
bioactivos,{'radioactivos'},1
Galatea,{'Galantea'},1
Andalucía,{'Anda lucía'},1
NET,{'TEN'},2
dBASE,{'d Base'},1
Acatlán,{'Catalán'},2
Geomagnetismo,{'Electromagnetismo'},1
Metacognición,{'Meta cognición'},2
Immanencia,{'Inmanencia'},1
Esparta,{'Espata'},1
Concentration,{'Concentraron'},1
Astromineralogía,{'Astro mineralogía'},1
Ndebele,{'Debele'},1
Swing,{'Fisiología'},1
CA-Clipper,{'CA-Clipperton'},1
geneticamente,{'genéricamente'},1
otomíes,{'oto míes'},4
Analfabetas,{'Analfabeta'},1
tipológico,{'tipo lógico'},1
computacionales,{'comunicacionales'},2
Punanos,{'Punamos'},1
sucesional,{'procesional'},1
Estecho,{'Estrecho'},1
Rifeño,{'Rife ño'},1
ADN,{'DAN'},2
Berawan,{'Berraran'},1
Lípidos,{'Límpidos'},1
iranís,{'ir anís'},2
postcoito,{'Crono fotografía'},1
Tulantepec,{'Petulante'},1
Odontopediatría,{'Micro química'},1
Totolac,{'Lactato'},1
homiléticas,{'Fidos'},1
Boy,{'Soy'},1
Teleconmutación,{'Tele conmutación'},1
supersónica,{'Ukiyoe'},1
melanogaster,{'Genealogistas'},2
Maji,{'Mali'},2
Transexualismo,{'pos parto'},1
Ardenas,{'Ordenas'},1
Reality,{'Realito'},1
and,{'ad'},4
Cardiografía,{'Cardiograma'},1
Happening,{'Gaza'},1
algebráicas,{'cedo'},1
Inmunoglobulinas,{'NS-DOS'},1
Germoplasma,{'Carteles'},1
Areas,{'Áreas'},4
Medicago,{'Medicado'},1
clusters,{'Retozas'},1
Mesopotamia,{'Siena'},2
genome,{'engome'},1
Tzotziles,{'Tobago'},2
cardiología,{'Radio isotopos'},1
jurisprudence,{'jurisprudente'},1
Construccionismo,{'Obstruccionismo'},1
Isabel,{'Isabela'},1
Lásers,{'Láser'},2
Estigmatización,{'Estigmatizan'},1
III-VI,{'Par'},1
Microirrigación,{'Encristales'},1
Etnoarqueología,{'XVII'},1
Xochiatipan,{'Acapullo'},2
pages,{'pegas'},1
objetuales,{'Durando'},1
country,{'Anastasia'},1
tántrico,{'tártrico'},2
lípidas,{'límpidas'},1
Geocronometría,{'Cronometraría'},1
Dadaismo,{'Adamismo'},2
kekchíes,{'Des industrialización'},1
Reutilización,{'Re utilización'},1
Almoloya,{'Colman'},1
Nezahualcoyótl,{'Nezahualcoyótl'},1
Devaluación,{'Evaluación'},1
Apoptosis,{'ultra cortos'},1
c,{'ca'},2
Motul,{'Motil'},1
Maxcanú,{'Oxkutzcab'},1
Entomólogos,{'Élite'},1
Figueroa,{'Xoxocotlán'},1
Highlands,{'Yawuru'},1
Ornitina,{'Video grabadoras'},1
Tokio,{'Torio'},1
Extranets,{'OC'},1
Cromatografía,{'Cromolitografía'},1
Atlixco,{'Porfirizo'},1
José,{'Osé'},3
Carbaniones,{'Carburaciones'},1
Perceptrones,{'Percepciones'},1
Women,{'Comen'},2
Farmacólogos,{'radioactivos'},1
funtores,{'Orfo'},1
periodontales,{'Encristales'},1
Zoros,{'Oros'},1
Diáspora,{'Hache mitas'},4
Psicodiagnóstico,{'gros si'},1
XV,{'mogolas'},2
JavaScript,{'Cabinas'},1
cardenista,{'decadentista'},1
Homópteros,{'organizarles'},1
Cienciólogos,{'Homología'},1
salmonella,{'salmonera'},1
language,{'programa'},1
Trigonometría,{'Cronometraría'},4
elegiaca,{'Petroleoquímicos'},3
Mencheviques,{'institucionalmente'},1
testamentar,{'testa mentar'},1
Inuit,{'policíacos'},1
Pachuca,{'Machuca'},2
Nilo,{'Rilo'},1
Fotones,{'Motones'},1
Xochipilli,{'jadeo-españoles'},2
Borna,{'Orna'},1
Anestesiología,{'Paleo ecología'},1
Zarumilla,{'Humillarla'},1
hídrica,{'Ay-Sachs'},1
Deal,{'Real'},1
Performance,{'Permanecer'},1
Teosofía,{'Teoso fía'},1
Aymarás,{'Amarás'},1
afroestadounidense,{'Anfetaminas'},1
localmente,{'locamente'},1
Logos,{'Dogos'},2
communication,{'comunicativo'},1
Rivadavia,{'Cholla'},1
DIALOG,{'DIALOGA'},1
LOGO,{'LIGO'},1
Abhidharma,{'Marimacho'},1
Esfinges,{'Es finges'},1
inalámbricos,{'gros si'},1
Tultepec,{'Texcocano'},1
Pentecostés,{'Auditas'},1
Esquizofrénicos,{'Esquizofrenias'},2
Golem,{'Golea'},1
folklórico,{'folclórico'},2
Bibliografía,{'Biografía'},20
Lisboa,{'Kikapús'},1
Parafilias,{'Par afilias'},1
Magnetohidrodinámica,{'Micro química'},1
Therav,{'Babilónica'},1
Putla,{'Puta'},1
Capulhuac,{'Catalán'},1
Iturbide,{'Salva tierra'},1
Arcaismos,{'Arcaísmos'},1
Deforestación,{'De forestación'},2
océanicas,{'isotónica'},1
Madhyamaka,{'Madhyamaka'},1
evaporíticas,{'Dentirrostros'},1
Nitrificación,{'Tecnificación'},1
FORTRAN,{'FORRAN'},1
Therapeutic,{'Parapsicología'},1
Noé,{'Toé'},1
Cuicateco,{'Cochinamente'},1
transpacíficas,{'Biografía'},1
Grafólogos,{'Terminología'},1
Cienciología,{'Chauvinismo'},2
Xochicoatlán,{'Acapullo'},1
Cavite,{'Catite'},1
benefactivas,{'Animalidad'},1
cuicatecos,{'Suave'},1
evaluativas,{'evacuativas'},1
Ocosingo,{'Moruro'},1
nanoestructurados,{'reestructurados'},1
Mixtecos,{'Esturado'},1
Franquismo,{'Etología'},2
policíclicos,{'policíacos'},1
yiddish,{'yiddish'},1
Tarimoro,{'Osé'},1
Seminola,{'Semigola'},1
Fox,{'Fo'},1
Pandora,{'Pandorga'},2
Colofones,{'Colones'},1
mozárabe,{'Des colonización'},2
VIH,{'VI'},2
iónicos,{'irónicos'},1
Numerología,{'tercias'},2
Psicopatología,{'Parapsicología'},2
Peloponeso,{'Peloponesio'},2
FoxPro,{'Neutros'},1
Teleología,{'Teología'},1
Etnohistoria,{'Protohistoria'},1
transcultural,{'contracultura'},1
Morgan,{'Gorman'},1
Emiratos,{'Emigratorios'},3
Estratificación,{'Estratifican'},1
Sudoriental,{'Sudorienta'},1
Juárez,{'Acapullo'},6
Teleseries,{'Tele series'},1
Mendel,{'Tendel'},1
Apraxia,{'séptica'},1
Telecommunication,{'Auto inmunidad'},1
Tula,{'Aula'},1
Tacna-Arica,{'Taca-Arica'},1
náhuatl,{'XI'},2
Calpulalpan,{'Espita'},1
Composicionalidad,{'literatura'},1
covarianza,{'Canadienses'},1
videograbaciones,{'video grabaciones'},1
II,{'IR'},2
cuplimiento,{'cumplimiento'},1
músculoesquelético,{'músculo esquelético'},1
poliquístico,{'haló filos'},1
Vaisnavismo,{'hispano estadounidense'},1
Pompeya,{'Pompea'},1
Agrobiodiversidad,{'Chicano'},1
Lorentz,{'Mnemotecnia'},1
Clíticos,{'Líticos'},2
extinguidores,{'extinguido res'},1
conductual,{'conducto'},1
Escatología,{'Contrarrestara'},2
paramétrica,{'para métrica'},2
Taquiquininas,{'Quinaquinas'},1
Edipo,{'Edito'},2
Petroglifos,{'Pan hispanismo'},1
Amoníaco,{'Amoniaco'},1
Autoría,{'Autora'},8
Estructuralismo,{'Simetría'},2
camps,{'campa'},1
Mozárabes,{'mogolas'},1
cerebrovascular,{'cerebro vascular'},1
Popolocas,{'Popo locas'},1
Oaxaca,{'Moleros'},10
Modus,{'Mudos'},1
Panafricanismo,{'Causa'},1
Guarijíos,{'Reestreno'},1
Craneometría,{'Cronometraría'},1
holística,{'ciclística'},1
Calderon,{'Calderón'},1
Orbita,{'Órbita'},1
Candomblé,{'Electrónica'},1
multivariable,{'Odontología'},2
egea,{'tegea'},1
jerarquización,{'jerarquizan'},1
aid,{'ad'},1
Girl,{'Gil'},1
XML,{'Líticos'},1
etnomusicología,{'Energética'},1
López,{'Fortines'},2
Paleografía,{'Paleo grafía'},6
Hamilton-Jacobi,{'Helamiento-Jacobi'},1
Agrosilvicultura,{'Agro silvicultura'},1
Tianjin,{'nutricio'},1
Intencionalidad,{'Intencionadamente'},1
N,{'A'},2
Pansofía,{'Aspersorios'},1
Arabes,{'Árabes'},7
bilingüe,{'Éxodo'},2
Ubuntu,{'huevas'},1
Everest,{'Revestir'},1
Xhosa,{'Saltareles'},1
Abaco,{'Ábaco'},1
Bactria,{'Bacteria'},1
Fotointerpretación,{'Foto interpretación'},1
mixteca,{'cartográfica'},2
Espectrometría,{'Macro moléculas'},1
biogeoquímicos,{'bioquímicos'},1
millerita,{'militarista'},1
